fam,sp,environment,DF,SVL,logDF,logSVL,temperature
Bufonidae,1,still,1650,85,3.217483944,1.929418926,19.1
Bufonidae,3,still ,2307,103,3.363047595,2.012837225,18
Bufonidae,4,still,1900,74.5,3.278753601,1.872156273,19.5
Bufonidae,5,still ,3583,47,3.554246808,1.672097858,24
Bufonidae,6,flowing ,5700,32,3.755874856,1.505149978,21
Bufonidae,7,flowing,3364,40,3.526855987,1.602059991,18.5
Bufonidae,8,flowing ,3500,50,3.544068044,1.698970004,22
Bufonidae,9,flowing,8000,25,3.903089987,1.397940009,24
Bufonidae,10,flowing ,2374,34,3.375480715,1.531478917,18
Bufonidae,12,flowing ,1625,38.5,3.210853365,1.58546073,15
Bufonidae,13,flowing,2429,29.3,3.385427515,1.46686762,23
Bufonidae,14,flowing ,2832,29.4,3.452093249,1.46834733,27
Bufonidae,17,flowing ,1898,48,3.278296208,1.681241237,24.8
Bufonidae,19,still,1600,86.6,3.204119983,1.937517892,16
Bufonidae,20,still ,1434,71.5,3.156549151,1.854306042,17.5
Bufonidae,21,still,1477,71,3.169380495,1.851258349,12
Bufonidae,22,still ,2403,64.4,3.380753771,1.808885867,26.7
Bufonidae,23,still,1000,72,3,1.857332496,24
Bufonidae,24,still ,1700,82.4,3.230448921,1.915927212,19.5
Bufonidae,25,still,1700,96,3.230448921,1.982271233,25
Bufonidae,26,still ,1825,83,3.261262869,1.919078092,26
Bufonidae,27,still,1480,77.8,3.170261715,1.890979597,22.5
Bufonidae,33,still ,1549,76,3.190051418,1.880813592,17.5
Bufonidae,34,still,2669,34,3.426348574,1.531478917,25.4
Bufonidae,35,flowing ,2329,29,3.367169489,1.462397998,25.4
Bufonidae,36,flowing,768,138,2.88536122,2.139879086,22
Bufonidae,40,still ,1248,112,3.096214585,2.049218023,24.2
Bufonidae,41,still ,1650,37.7,3.217483944,1.57634135,26.5
Bufonidae,43,still ,2906,70,3.46329561,1.84509804,22
Bufonidae,46,still,2593,42.7,3.413802517,1.63042788,24.9
Bufonidae,48,still ,1575,67,3.197280558,1.826074803,26
Ranidae,57,still ,1168,58,3.067442843,1.763427994,28
Ranidae,63,still ,1222,51.4,3.087071206,1.710963119,24.9
Ranidae,64,flowing ,15477,52,4.189686783,1.716003344,20
Ranidae,67,still ,3050,48,3.484299839,1.681241237,27.4
Ranidae,69,still ,2500,30,3.397940009,1.477121255,20.5
Ranidae,73,flowing ,5650,44,3.752048448,1.643452676,23.5
Ranidae,74,flowing ,7205,37.3,3.857633985,1.571708832,17.3
Ranidae,76,flowing ,2165,69,3.335457901,1.838849091,22.5
Ranidae,78,flowing ,15000,51,4.176091259,1.707570176,20.5
Ranidae,79,flowing ,3100,46,3.491361694,1.662757832,25.3
Ranidae,80,still ,1840,76.8,3.264817823,1.88536122,23.5
Ranidae,81,flowing ,19000,36,4.278753601,1.556302501,26.5
Ranidae,82,flowing ,2326,48.1,3.36660971,1.682145076,24
Ranidae,85,still,2289,55.6,3.359645793,1.745074792,25.2
Ranidae,87,still,3245,39,3.511214701,1.591064607,24.8
Ranidae,88,still ,1309,55,3.116939647,1.740362689,15
Ranidae,90,still ,1376,74.2,3.138618434,1.870403905,22
Ranidae,91,still,850,90,2.929418926,1.954242509,23
Ranidae,92,still ,1242,62,3.094121596,1.792391689,15.2
Ranidae,93,still,463,71,2.665580991,1.851258349,17.5
Ranidae,94,flowing ,1273,53.9,3.104828404,1.731588765,15.4
Ranidae,95,still ,1264,56.5,3.101747074,1.752048448,26.5
Ranidae,98,still ,605,63.1,2.781755375,1.800029359,25.6
Ranidae,99,still ,1215,84.1,3.084576278,1.924795996,25
Ranidae,101,still,1220,62.3,3.086359831,1.79448804,4.7
